period,income,output_sum,export_value,import_value,trade_balance,import_value_val,trade_balance_val,income_growth,output_growth
0.000000000000000000e+00,2.819578611314379861e-03,5.946117936182548913e-03,3.686819441781319460e-03,1.948468331850732298e-03,1.738351109930587161e-03,3.687841504853806626e-03,-1.022063072487165714e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.325185584615522237e-03,4.959637113114798157e-03,3.686795794049126020e-03,1.947928325582114466e-03,1.738867468467011554e-03,3.686819441781319026e-03,-2.364773219300578266e-08,-1.753428773771235072e+01,-1.659033395662984489e+01
2.000000000000000000e+00,2.249561134487080942e-03,4.847805001185417385e-03,3.626511796446790260e-03,1.792354260410231916e-03,1.834157536036558345e-03,3.392344721742593470e-03,2.341670747041967905e-04,-2.021640661267388595e+01,-1.847109234604681305e+01
3.000000000000000000e+00,2.282447687183536151e-03,4.956362036722953418e-03,3.465759981688691822e-03,1.782979550784157072e-03,1.682780430904534750e-03,3.374604153199888337e-03,9.115582848880348504e-05,-1.905004251257438241e+01,-1.664541319365464744e+01
4.000000000000000000e+00,2.347874520801286006e-03,5.124400889870303621e-03,3.416459948035708259e-03,1.805082804341723605e-03,1.611377143693984654e-03,3.416448140525787502e-03,1.180750992075749184e-08,-1.672959528846771349e+01,-1.381938695349513857e+01
5.000000000000000000e+00,2.407741288228415662e-03,5.271665497320368945e-03,3.407167643897025117e-03,1.800166589277608659e-03,1.607001054619416457e-03,3.407155242952574110e-03,1.240094445100620169e-08,-1.460634299867884422e+01,-1.134273564871778284e+01
6.000000000000000000e+00,2.456414868862003258e-03,5.388396797227784814e-03,3.406668632584227037e-03,1.798468149400455664e-03,1.608200483183771373e-03,3.403953198141208662e-03,2.715434443018374666e-06,-1.288007154668702192e+01,-9.379584208395719713e+00
7.000000000000000000e+00,2.493426884445644736e-03,5.475624536643432932e-03,3.411823673117258572e-03,1.798083618791765240e-03,1.613740054325493332e-03,3.403238216775749531e-03,8.585456341509041522e-06,-1.156739257277510369e+01,-7.912614660333772143e+00
8.000000000000000000e+00,2.521449140256131188e-03,5.540691719055031161e-03,3.418649844713721880e-03,1.801000744575619560e-03,1.617649100138102321e-03,3.408772230178102290e-03,9.877614535619590186e-06,-1.057354704926181199e+01,-6.818334608879361269e+00
9.000000000000000000e+00,2.542624866576493996e-03,5.589262590567851789e-03,3.426023307837229061e-03,1.805038888597014675e-03,1.620984419240214386e-03,3.416427832323037407e-03,9.595475514191653676e-06,-9.822522543848510423e+00,-6.001484488614106105e+00
1.000000000000000000e+01,2.558631407864332599e-03,5.625613716361013705e-03,3.432922940111062492e-03,1.809119967304693684e-03,1.623802972806368808e-03,3.424164487695242638e-03,8.758452415819854148e-06,-9.254829867233372198e+00,-5.390142329186653924e+00
1.100000000000000000e+01,2.570773433420445089e-03,5.652968036099005264e-03,3.438917698137898288e-03,1.812872760399697730e-03,1.626044937738200559e-03,3.431279575608256124e-03,7.638122529642164121e-06,-8.824197236265430178e+00,-4.930105713169696813e+00
1.200000000000000000e+01,2.580024562989449970e-03,5.673675557780682305e-03,3.443930049687058716e-03,1.816139403047653663e-03,1.627790646639405052e-03,3.437474314390528193e-03,6.455735296530522999e-06,-8.496093968213891401e+00,-4.581852921954931546e+00
1.300000000000000000e+01,2.587099987563438834e-03,5.689430923089231450e-03,3.448022200705028358e-03,1.818874838373113392e-03,1.629147362331914966e-03,3.442663445718458989e-03,5.358754986569368162e-06,-8.245154890097861511e+00,-4.316883987977416126e+00
1.400000000000000000e+01,2.592528542026345442e-03,5.701467731784541811e-03,3.451308944848934922e-03,1.821109203219832030e-03,1.630199741629102892e-03,3.446904035232684158e-03,4.404909616250764215e-06,-8.052624189193736015e+00,-4.114452606284402236e+00
1.500000000000000000e+01,2.596705078169914051e-03,5.710695121569161863e-03,3.453919997090991543e-03,1.822906653124794270e-03,1.631013343966197272e-03,3.450317536081277513e-03,3.602461009714029438e-06,-7.904497936327114616e+00,-3.959269175958024523e+00
1.600000000000000000e+01,2.599926453150870360e-03,5.717789464342491572e-03,3.455979585599980482e-03,1.824338801082513260e-03,1.631640784517467222e-03,3.453039514116343009e-03,2.940071483637472782e-06,-7.790247708721132369e+00,-3.839958680446997619e+00
1.700000000000000000e+01,2.602417062254953027e-03,5.723257817486379628e-03,3.457596973967145063e-03,1.825473040735964714e-03,1.632123933231180348e-03,3.455197546246257124e-03,2.399427720887938736e-06,-7.701915037516704032e+00,-3.747993583175501797e+00
1.800000000000000000e+01,2.604347313990507118e-03,5.727482777623873166e-03,3.458863869297877560e-03,1.826368276262028316e-03,1.632495593035849244e-03,3.456903138186853772e-03,1.960731111023787665e-06,-7.633456164697605573e+00,-3.676939490692998636e+00
1.900000000000000000e+01,2.605842263451205437e-03,5.730743812798572319e-03,3.459855141114144637e-03,1.827060004018371282e-03,1.632795137095773355e-03,3.458223487544837688e-03,1.631653569306949075e-06,-7.580435849722189090e+00,-3.622096394580565093e+00
2.000000000000000000e+01,2.606992893225126492e-03,5.733243511741716557e-03,3.460627103289922596e-03,1.827573024396007871e-03,1.633054078893914724e-03,3.459205544518540853e-03,1.421558771381743053e-06,-7.539627277501370628e+00,-3.580057219273713454e+00
2.100000000000000000e+01,2.607881651866641656e-03,5.735164887625953702e-03,3.461222040260883079e-03,1.827972758096018877e-03,1.633249282164864202e-03,3.459973143208845692e-03,1.248897052037387101e-06,-7.508106303482464661e+00,-3.547744104988748148e+00
2.200000000000000000e+01,2.608571044729511828e-03,5.736646383853061942e-03,3.461684205773359318e-03,1.828286576233968458e-03,1.633397629539390860e-03,3.460578097064192366e-03,1.106108709166952336e-06,-7.483656094500745759e+00,-3.522828752770568173e+00
2.300000000000000000e+01,2.609108345181066196e-03,5.737792533158163691e-03,3.462044588479123997e-03,1.828533737578629491e-03,1.633510850900494506e-03,3.461056863523553993e-03,9.877249555700039207e-07,-7.464600039478963112e+00,-3.503553162925177045e+00
2.400000000000000000e+01,2.609529048820793517e-03,5.738681723855018277e-03,3.462326714748715020e-03,1.828728151630534251e-03,1.633598563118180769e-03,3.461435774194338965e-03,8.909405543760552659e-07,-7.449679241100115590e+00,-3.488599024672323079e+00
2.500000000000000000e+01,2.609860537226486258e-03,5.739374373947187663e-03,3.462548401041010485e-03,1.828882440327487136e-03,1.633665960713523348e-03,3.461738722772508305e-03,8.096782685021799986e-07,-7.437922576314726086e+00,-3.476950246434096226e+00
2.600000000000000000e+01,2.610123658598258178e-03,5.739916452967389580e-03,3.462723736125953179e-03,1.829005729278236625e-03,1.633718006847716554e-03,3.461982984519834747e-03,7.407516061184310496e-07,-7.428590636757659738e+00,-3.467833726613611667e+00
2.700000000000000000e+01,2.610334284715013897e-03,5.740342938973919291e-03,3.462863445486106823e-03,1.829104960560163327e-03,1.633758484925943496e-03,3.462181701248640258e-03,6.817442374665652616e-07,-7.421120509274404142e+00,-3.460661214882310155e+00
2.800000000000000000e+01,2.610504502738405629e-03,5.740680458872511778e-03,3.462975729979150992e-03,1.829185444905206959e-03,1.633790285073944033e-03,3.462344926594638703e-03,6.308033845122892891e-07,-7.415083507053266132e+00,-3.454984908051272896e+00
2.900000000000000000e+01,2.610643531674009237e-03,5.740949315363528226e-03,3.463066860073923427e-03,1.829251274858489972e-03,1.633815585215433455e-03,3.462480408117670719e-03,5.864519562527072127e-07,-7.410152666145142675e+00,-3.450463361490951897e+00
3.000000000000000000e+01,2.610758410623005999e-03,5.741165007125187923e-03,3.463141635794777812e-03,1.829305597714115869e-03,1.633836038080661943e-03,3.462594103974682858e-03,5.475318200949541581e-07,-7.406078335727972473e+00,-3.446835923152613557e+00
3.100000000000000000e+01,2.610854521735855166e-03,5.741339382781432236e-03,3.463203731450633337e-03,1.829350838051667328e-03,1.633852893398966008e-03,3.462690604184810294e-03,5.131272658230427719e-07,-7.402669630878833118e+00,-3.443903326488439998e+00
