period,income,output_sum,export_value,import_value,trade_balance,import_value_val,trade_balance_val,income_growth,output_growth
0.000000000000000000e+00,2.819578594390149615e-03,5.946119139431891958e-03,3.687841504853806626e-03,1.947928325184612990e-03,1.739913179669193635e-03,3.686819441781319460e-03,1.022063072487165714e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.325331382383896174e-03,4.959949532243282388e-03,3.687817976075400111e-03,1.947928325184612773e-03,1.739889650890787337e-03,3.686819441781319460e-03,9.985342940806510303e-07,-1.752911633637773647e+01,-1.658509666664417281e+01
2.000000000000000000e+00,2.249300361515599225e-03,4.847240469053441109e-03,3.625048885943185639e-03,1.792025519795327482e-03,1.833023366147858157e-03,3.391722407745139094e-03,2.333264781980465448e-04,-2.022565478434186304e+01,-1.848060297162900056e+01
3.000000000000000000e+00,2.280904496160304946e-03,4.952954495606765560e-03,3.464184281507820453e-03,1.782408862836049220e-03,1.681775418671771233e-03,3.373523802482153878e-03,9.066047902566657518e-05,-1.910477329135616031e+01,-1.670273703799376364e+01
4.000000000000000000e+00,2.345296613424395667e-03,5.118682414576960701e-03,3.413820192992795925e-03,1.803688188343125724e-03,1.610132004649670202e-03,3.413808234422494384e-03,1.195857030154151568e-08,-1.682102360648460859e+01,-1.391557594881939153e+01
5.000000000000000000e+00,2.404472360163753368e-03,5.264397855292543039e-03,3.403953198141208662e-03,1.798468413413359650e-03,1.605484784727849012e-03,3.403940624418053985e-03,1.257372315467686352e-08,-1.472227924599420845e+01,-1.146497855413779376e+01
6.000000000000000000e+00,2.453226360716273015e-03,5.381294002984869304e-03,3.403238216775749964e-03,1.798083980221919058e-03,1.605154236553830906e-03,3.403225398703494005e-03,1.281807225595940625e-08,-1.299315558724886088e+01,-9.499055151810964048e+00
7.000000000000000000e+00,2.491113432416752673e-03,5.470454183373192961e-03,3.408772230178102290e-03,1.799896526293171851e-03,1.608875703884930439e-03,3.406668632584227037e-03,2.103597593875253247e-06,-1.164944160900189729e+01,-7.999586703608252414e+00
8.000000000000000000e+00,2.519697425627607807e-03,5.536764451334186612e-03,3.416427832323037407e-03,1.802613513289271982e-03,1.613814319033765425e-03,3.411823673117259006e-03,4.604159205778401293e-06,-1.063567333640520474e+01,-6.884401043750631999e+00
9.000000000000000000e+00,2.541173871276002170e-03,5.586002150502920524e-03,3.424164487695243071e-03,1.806213506851054923e-03,1.617950980844188149e-03,3.418649844713722314e-03,5.514642981520757187e-06,-9.873983426745514436e+00,-6.056336586679589296e+00
1.000000000000000000e+01,2.557381043939898659e-03,5.622799611038571677e-03,3.431279575608255691e-03,1.810102763183197693e-03,1.621176812425057998e-03,3.426023307837229061e-03,5.256267771026629926e-06,-9.299175095594813811e+00,-5.437488230755683105e+00
1.100000000000000000e+01,2.569668252986688668e-03,5.650478110616929256e-03,3.437474314390528193e-03,1.813741785801327227e-03,1.623732528589200965e-03,3.432922940111062492e-03,4.551374279465700973e-06,-8.863393341852010110e+00,-4.971999751138678647e+00
1.200000000000000000e+01,2.579022069592290089e-03,5.671415970087484264e-03,3.442663445718458989e-03,1.816902830316856733e-03,1.625760615401602256e-03,3.438917698137897855e-03,3.745747580561134549e-06,-8.531648143324400024e+00,-4.619873280417541750e+00
1.300000000000000000e+01,2.586171248797162949e-03,5.687337676501999159e-03,3.446904035232684158e-03,1.819544921983328855e-03,1.627359113249355303e-03,3.443930049687059149e-03,2.973985545625008886e-06,-8.278093260367890949e+00,-4.352106926579635271e+00
1.400000000000000000e+01,2.591655594246042131e-03,5.699501004481636462e-03,3.450317536081277513e-03,1.821700913820869985e-03,1.628616622260407529e-03,3.448022200705028358e-03,2.295335376249155873e-06,-8.083583858864029636e+00,-4.147547823500518760e+00
1.500000000000000000e+01,2.595876637177208998e-03,5.708829804283967885e-03,3.453039514116342575e-03,1.823431443230710521e-03,1.629608070885632054e-03,3.451308944848934922e-03,1.730569267407652823e-06,-7.933879114347774930e+00,-3.990658942138103349e+00
1.600000000000000000e+01,2.599135120274068730e-03,5.716009002706510557e-03,3.455197546246257124e-03,1.824805032237115628e-03,1.630392514009141496e-03,3.453919997090991977e-03,1.277549155265147313e-06,-7.818312798752147685e+00,-3.869921394601705256e+00
1.700000000000000000e+01,2.601657784827133679e-03,5.721550826382155140e-03,3.456903138186853339e-03,1.825887305450524462e-03,1.631015832736328877e-03,3.455979585599980482e-03,9.235525868728569621e-07,-7.728843239078086569e+00,-3.776720711169478939e+00
1.800000000000000000e+01,2.603616459588955871e-03,5.725841007657784740e-03,3.458249695787120673e-03,1.826735982654250625e-03,1.631513713132870047e-03,3.457596973967145063e-03,6.527218199756101846e-07,-7.659376306476195495e+00,-3.704569764055432035e+00
1.900000000000000000e+01,2.605141879411569661e-03,5.729171608028597873e-03,3.459313365902541224e-03,1.827399509301324589e-03,1.631913856601216635e-03,3.458863869297877560e-03,4.494966046636635071e-07,-7.605275320405135986e+00,-3.648556753002119013e+00
2.000000000000000000e+01,2.606333828457794294e-03,5.731764723974682590e-03,3.460155145801978045e-03,1.827917436170980276e-03,1.632237709630997768e-03,3.459855141114144203e-03,3.000046878338415157e-07,-7.563001306529582024e+00,-3.604946527823682523e+00
2.100000000000000000e+01,2.607267839407047694e-03,5.733788008349167790e-03,3.460823339972203191e-03,1.828319132711224079e-03,1.632504207260979112e-03,3.460626386437931200e-03,1.969535342719909432e-07,-7.529875400725360990e+00,-3.570919554481222224e+00
2.200000000000000000e+01,2.607998682160379226e-03,5.735362768119752624e-03,3.461355278760525241e-03,1.828620344209740557e-03,1.632734934550784684e-03,3.461207413464890362e-03,1.478652956348781855e-07,-7.503955117645277895e+00,-3.544435729760297971e+00
2.300000000000000000e+01,2.608573708015053585e-03,5.736593750340857056e-03,3.461777929015326990e-03,1.828854259926769544e-03,1.632923669088557446e-03,3.461661046856372506e-03,1.168821589544837003e-07,-7.483561082316080970e+00,-3.523733449966726106e+00
2.400000000000000000e+01,2.609029061242952672e-03,5.737560811591447749e-03,3.462117137397039291e-03,1.829037103117218043e-03,1.633080034279821248e-03,3.462017997332990892e-03,9.914006404839956210e-08,-7.467411391408185217e+00,-3.507469711755062391e+00
2.500000000000000000e+01,2.609392300881178788e-03,5.738324784057880629e-03,3.462391588223683730e-03,1.829180614345270964e-03,1.633210973878412766e-03,3.462300490089431464e-03,9.109813425226681582e-08,-7.454528628042456084e+00,-3.494621458154378857e+00
2.600000000000000000e+01,2.609684418206969191e-03,5.738931970871632288e-03,3.462615573339963230e-03,1.829293650629166060e-03,1.633321922710797170e-03,3.462525291797789208e-03,9.028154217402203918e-08,-7.444168309434151531e+00,-3.484409977363067679e+00
2.700000000000000000e+01,2.609921483216481441e-03,5.739417803054575225e-03,3.462800077388226722e-03,1.829383182147259696e-03,1.633416895240967026e-03,3.462705597270079698e-03,9.448011814702436673e-08,-7.435760492394260623e+00,-3.476239401369707327e+00
2.800000000000000000e+01,2.610115796466384256e-03,5.739809391823388202e-03,3.462953607822326276e-03,1.829454533044405596e-03,1.633499074777920680e-03,3.462851485353325102e-03,1.021224690011743319e-07,-7.428868921778375878e+00,-3.469653782083736981e+00
2.900000000000000000e+01,2.610276783348043465e-03,5.740127506859682947e-03,3.463082728612670771e-03,1.829511781334017696e-03,1.633570947278653075e-03,3.462970675939495025e-03,1.120526731757456873e-07,-7.423159313896565692e+00,-3.464303821397862748e+00
3.000000000000000000e+01,2.610411265514242518e-03,5.740387172696179846e-03,3.463192510113553748e-03,1.829556876660765226e-03,1.633635633452788522e-03,3.463066860073922559e-03,1.256500396311886758e-07,-7.418389730013830174e+00,-3.459936841349064984e+00
3.100000000000000000e+01,2.610524012646027806e-03,5.740598888219560804e-03,3.463286559322361312e-03,1.829590663011549170e-03,1.633695896310812141e-03,3.463141635794778246e-03,1.449235275830657033e-07,-7.414391007225617614e+00,-3.456376274895278655e+00
3.200000000000000000e+01,2.610619783924461590e-03,5.740773149132619678e-03,3.463367404777347672e-03,1.829617751405346110e-03,1.633749653372001563e-03,3.463203731450633770e-03,1.636733267139020565e-07,-7.410994355022904045e+00,-3.453445608540084422e+00
3.300000000000000000e+01,2.610702166633464306e-03,5.740917863975265358e-03,3.463437963768177443e-03,1.829639628798695062e-03,1.633798334969482381e-03,3.463255961956945676e-03,1.820018112317668690e-07,-7.408072545743793924e+00,-3.451011838895512440e+00
3.400000000000000000e+01,2.610773919444445753e-03,5.741039114002829610e-03,3.463500194766357988e-03,1.829657419092543379e-03,1.633842775673814609e-03,3.463300454955398327e-03,1.997398109596613958e-07,-7.405527739540329613e+00,-3.448972693282703617e+00
3.500000000000000000e+01,2.610837164909100665e-03,5.741141578191196262e-03,3.463555621898288615e-03,1.829671967672974030e-03,1.633883654225314584e-03,3.463338810851083159e-03,2.168110472054556037e-07,-7.403284657372632971e+00,-3.447249482126590880e+00
3.600000000000000000e+01,2.610893558087008012e-03,5.741228905496728943e-03,3.463605437318792966e-03,1.829683969061797737e-03,1.633921468256995229e-03,3.463372344443593157e-03,2.330928751998091741e-07,-7.401284600413071679e+00,-3.445780838403089685e+00
3.700000000000000000e+01,2.610944388988430467e-03,5.741303940541573995e-03,3.463650591704665709e-03,1.829693949525098597e-03,1.633956642179567112e-03,3.463402052016591095e-03,2.485396880746136572e-07,-7.399481816779962529e+00,-3.444518922133243954e+00
3.800000000000000000e+01,2.610990667757701229e-03,5.741368911340236948e-03,3.463691838616991901e-03,1.829702316664734256e-03,1.633989521952257645e-03,3.463428705213981995e-03,2.631334030099054255e-07,-7.397840480398598650e+00,-3.443426263255422448e+00
3.900000000000000000e+01,2.611033189350170109e-03,5.741425571789519899e-03,3.463729780110263307e-03,1.829709387157088182e-03,1.634020392953175124e-03,3.463452903550527477e-03,2.768765597358294195e-07,-7.396332397149796734e+00,-3.442473365273490682e+00
4.000000000000000000e+01,2.611072583080669991e-03,5.741475310811584160e-03,3.463764900452952471e-03,1.829715408456795717e-03,1.634049491996156754e-03,3.463475115497926474e-03,2.897849550259970486e-07,-7.394935247569422998e+00,-3.441636869722386471e+00
4.100000000000000000e+01,2.611109350206045933e-03,5.741519235125465588e-03,3.463797592210573779e-03,1.829720574307231503e-03,1.634077017903342276e-03,3.463495707847159388e-03,3.018843634143911214e-07,-7.393631253935439851e+00,-3.440898164142303095e+00
4.200000000000000000e+01,2.611143892663788605e-03,5.741558232538288876e-03,3.463828176087368170e-03,1.829725037042066174e-03,1.634103139045301996e-03,3.463514968996117722e-03,3.132070912504475446e-07,-7.392406161015118826e+00,-3.440242317666497573e+00
4.300000000000000000e+01,2.611176535062204387e-03,5.741593020374547232e-03,3.463856916279179233e-03,1.829728916982358185e-03,1.634127999296821048e-03,3.463533126738992107e-03,3.237895401871256074e-07,-7.391248456155230073e+00,-3.439657266552609283e+00
4.400000000000000000e+01,2.611207541546341996e-03,5.741624182622242709e-03,3.463884032313636983e-03,1.829732309659226792e-03,1.634151722654410190e-03,3.463550361939357527e-03,3.336703742794558392e-07,-7.390148771110116144e+00,-3.439133189470322538e+00
4.500000000000000000e+01,2.611237128760818173e-03,5.741652198485496135e-03,3.463909708207349794e-03,1.829735291354539104e-03,1.634174416852810690e-03,3.463566819019184458e-03,3.428891881653364782e-07,-7.389099422298384567e+00,-3.438662027312344716e+00
4.600000000000000000e+01,2.611265475840248047e-03,5.741677464393039367e-03,3.463934099564063701e-03,1.829737923364932158e-03,1.634196176199131543e-03,3.463582614031046700e-03,3.514855330170006675e-07,-7.388094056479310723e+00,-3.438237113062381223e+00
4.700000000000000000e+01,2.611292732131053999e-03,5.741700311012078693e-03,3.463957339096429468e-03,1.829740255284965748e-03,1.634217083811463720e-03,3.463597840873468628e-03,3.594982229608405244e-07,-7.387127376888957819e+00,-3.437852885661218938e+00
4.800000000000000000e+01,2.611319023178930096e-03,5.741721016443602534e-03,3.463979540937421869e-03,1.829742327538542166e-03,1.634237213398879703e-03,3.463612576083192028e-03,3.669648542298405147e-07,-7.386194930886979648e+00,-3.437504668092106197e+00
