sector_j,E_j
D01,63033.7
D02,1235.0
D03,2316.5
D05,13317.3
D06,168510.2
D07,9529.1
D08,2187.4
D09,1833.1
D10T12,60552.5
D13T15,13928.2
D16,5875.8
D17T18,24718.8
D19,129496.1
D20,118825.7
D21,59940.4
D22,26024.9
D23,9390.0
D24A,12448.8
D24B,52201.1
D25,28909.0
D26,97284.8
D27,25057.3
D28,99093.6
D29,87840.8
D301,1970.7
D302T309,106601.5
D31T33,50241.4
D35,8469.9
D36T39,98.3
D41T43,4.7
D45T47,392866.4
D49,45888.0
D50,6927.2
D51,26159.0
D52,9145.2
D53,17533.0
D55T56,1274.0
D58T60,64351.3
D61,14967.9
D62T63,74418.5
D64T66,237654.5
D68,3521.1
D69T75,236325.0
D77T82,81190.5
D84,3209.1
D85,2200.4
D86T88,279.1
D90T93,2226.7
D94T96,880.8
D97T98,0.0
