"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.2765,0.0899,0.1201,0.0302,0.0166,0.0389,0.037,0.0365,0.6158,0.3061,0.111,0.1637,0.0207,0.0989,0.3709,0.0712,0.0463,0.0337,0.0371,0.0423,0.0396,0.0433,0.041,0.0377,0.0374,0.0383,0.1008,0.0256,0.0489,0.0519,0.0231,0.0368,0.0397,0.0833,0.1276,0.0472,0.2859,0.0834,0.0305,0.0375,0.0325,0.0182,0.0694,0.0482,0.0454,0.0359,0.1456,0.1345,0.053,0
"TTL_02",0.0053,1.1972,0.0046,0.0159,0.0027,0.0075,0.0062,0.0082,0.0063,0.0061,0.3254,0.0236,0.0033,0.017,0.0052,0.0678,0.0095,0.0059,0.0064,0.0108,0.0086,0.01,0.0093,0.0083,0.0075,0.0093,0.0737,0.0061,0.0077,0.0179,0.0024,0.0053,0.0028,0.0127,0.0045,0.0056,0.0043,0.0061,0.0031,0.0049,0.0029,0.0021,0.0073,0.0039,0.0029,0.0026,0.004,0.0086,0.005,0
"TTL_03",0.0129,0.0031,1.2954,0.0035,0.0019,0.0048,0.0044,0.0041,0.0529,0.0079,0.0066,0.0086,0.0023,0.0103,0.0087,0.0063,0.005,0.0041,0.0043,0.0049,0.0046,0.0049,0.0049,0.0038,0.0042,0.0042,0.0067,0.0032,0.0089,0.0047,0.0029,0.0043,0.0157,0.0082,0.0067,0.0086,0.1009,0.0085,0.0033,0.0041,0.0058,0.0024,0.0103,0.0069,0.0058,0.0053,0.0055,0.0108,0.0055,0
"TTL_05",0.0179,0.014,0.0085,1.2656,0.0327,0.0638,0.0541,0.0643,0.0186,0.026,0.0304,0.0515,0.0684,0.0931,0.0263,0.0597,0.1108,0.1215,0.0796,0.0743,0.0323,0.0507,0.0496,0.038,0.0442,0.0417,0.0395,0.2843,0.0428,0.0562,0.0106,0.0295,0.0252,0.0321,0.0259,0.0205,0.0131,0.0206,0.0135,0.0175,0.0092,0.0084,0.0265,0.015,0.0127,0.009,0.0212,0.0208,0.0212,0
"TTL_06",0.0351,0.0317,0.026,0.0422,1.0712,0.0825,0.0759,0.0863,0.0303,0.0392,0.0457,0.0585,0.6697,0.1758,0.0372,0.0927,0.0816,0.0984,0.0805,0.0735,0.0459,0.0613,0.0559,0.0461,0.0537,0.0508,0.0509,0.1893,0.0491,0.0622,0.0186,0.0954,0.1622,0.1886,0.1098,0.0482,0.0222,0.0329,0.0186,0.0264,0.0169,0.012,0.0548,0.0464,0.0259,0.0146,0.0316,0.0299,0.0309,0
"TTL_07",0.0053,0.0052,0.0033,0.0291,0.0169,1.2107,0.0276,0.0427,0.0059,0.0075,0.0118,0.0184,0.014,0.0246,0.0115,0.022,0.0355,0.3198,0.3049,0.1283,0.0362,0.0998,0.0827,0.0581,0.0735,0.0665,0.0393,0.0188,0.0274,0.0618,0.0062,0.0128,0.0108,0.0146,0.014,0.0125,0.0043,0.0085,0.0129,0.013,0.0051,0.0051,0.0217,0.0106,0.0058,0.0032,0.0089,0.0076,0.0106,0
"TTL_08",0.0052,0.0045,0.0029,0.0116,0.0854,0.0154,1.0279,0.0166,0.0051,0.0061,0.0071,0.0099,0.0546,0.0315,0.0065,0.0155,0.0921,0.0154,0.0138,0.0122,0.0092,0.0137,0.0096,0.0093,0.0093,0.009,0.0099,0.0188,0.0078,0.0301,0.0025,0.0095,0.0141,0.017,0.011,0.0065,0.0033,0.0056,0.0033,0.0044,0.0025,0.0025,0.0078,0.0053,0.0037,0.0022,0.0053,0.0051,0.0049,0
"TTL_09",0.003,0.0026,0.0022,0.0068,0.0812,0.009,0.0108,1.0124,0.0029,0.0033,0.0038,0.0049,0.0548,0.0145,0.0032,0.0077,0.009,0.009,0.0074,0.0065,0.004,0.0054,0.0049,0.004,0.0047,0.0044,0.0044,0.0159,0.0043,0.0065,0.0016,0.0079,0.0133,0.0155,0.0091,0.0041,0.002,0.0028,0.0016,0.0022,0.0014,0.0011,0.0046,0.0039,0.0022,0.0012,0.0027,0.0026,0.0026,0
"TTL_10T12",0.2071,0.0399,0.1508,0.035,0.0214,0.0501,0.0474,0.038,1.3886,0.1079,0.054,0.0692,0.0286,0.1138,0.1196,0.0675,0.0518,0.0441,0.0497,0.0519,0.0492,0.0527,0.0505,0.0389,0.0446,0.0447,0.0603,0.0328,0.0605,0.0468,0.0269,0.0393,0.0506,0.1362,0.081,0.0547,0.431,0.0897,0.0348,0.0395,0.0374,0.022,0.0687,0.051,0.0549,0.0491,0.0766,0.1104,0.0749,0
"TTL_13T15",0.0121,0.0118,0.0063,0.0288,0.0153,0.0351,0.0292,0.045,0.0172,1.7825,0.0334,0.0709,0.0155,0.0411,0.0673,0.114,0.0526,0.0289,0.0311,0.0401,0.0308,0.0401,0.0414,0.0695,0.046,0.0499,0.1964,0.0211,0.0599,0.0411,0.0164,0.029,0.0159,0.035,0.0375,0.0353,0.0301,0.1378,0.0173,0.0209,0.0289,0.0166,0.0452,0.0438,0.0804,0.012,0.0671,0.0548,0.0378,0
