"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01",209202.6,4461.1,5258.5,4.5,0,12.9,65,30.1,572568.5,143868.8,6851.5,23789,3.3,22474.3,56977.2,68.4,435,160.1,36,198.7,0,8.3,218.1,33.8,4.6,4.2,4940.8,102.2,317.3,23840.8,636.1,2028.5,61,525.5,11196.8,87.5,29072,73.8,1055.9,3.8,14.1,273.2,7017.9,1956.6,9.9,2202.9,1509.7,3878.1,629.5,0,267401,25.8,1.7,47578.8,770.3,0,554,13067.5,0,1467567.6
"DOM_02",1619.3,15851.3,316.6,480.4,8.8,130.8,18.1,1.3,1389.2,42.1,39896.3,2173,22.6,6698.6,84.9,18530.7,72.2,15.8,58.4,294.8,0.2,51.2,156.5,6.2,5.7,2.9,4800.2,4,28.3,6782.6,18,710.9,33.8,545.1,12.8,0.8,240.2,0.7,43.7,0.5,0.5,7.8,347.3,57.5,0.3,238.8,18.1,214.9,24.3,0,994.1,24.5,0.1,0.1,0.3,0,0,56.4,0,103134.2
"DOM_03",3818.2,7.9,38536.3,0,0,0.5,3.3,2.9,43850.5,647.3,271,594.1,0.5,2498.6,86.7,32.6,18.8,35.3,0,0,0,0,43.7,6,0.9,0.6,298.8,9.1,433.4,0.1,72.2,0,1262.6,0,0,143.8,26879.5,3.2,76.8,0,1.6,31.2,1705.7,264.8,1.1,494.3,58.2,233.1,63.8,0,49185.7,5.8,0,16.4,15.5,0,41.3,1169.6,0,172923.5
"DOM_05",73.8,5.8,2.9,60816.5,380.3,1100,816.7,309,2073.6,1563.1,483.6,3739.1,15624.7,32200.5,412.3,1629.4,34819.1,39358,5808,2051.1,14.2,286.1,1953.2,298,16.3,156.2,734.3,122084.9,763.7,715.3,12.9,852.3,32.1,84.7,48,86.6,46.2,47,0,0,0,65.1,266.8,21.1,443.5,433.4,489.3,40.9,214.8,0,3087.2,0,0,0.1,4.9,0,0,549.3,0,337116.2
"DOM_06",0,0,0,78,1250.6,137.4,107.8,70.6,0,0,0,696.6,159456.8,18382.7,10.9,296.6,1034.3,222.8,405.7,345.7,0.6,0,469.5,197,17.7,53.9,0,36997.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.1,0,0,0.1,2.2,0,0,1326.1,0,221663.6
"DOM_07",0,0,0,127.4,0.1,18767,241.4,0,0,0,0,0,50.9,4006.7,448,752.5,2969.3,110741.4,57390.6,2603.4,0,701.1,344.1,35.9,7.7,3.5,23.3,137,187.5,748.2,0,0,0,0,0,0,0,0,0,0,0,0,98.9,0,0,0,0,0,0,0,0,0,0,0.1,-1.8,0,0,2057.5,0,202442.3
"DOM_08",5,0.6,1.8,1409.4,16221.8,808.5,1722.8,49,495.4,12.2,30.3,278,0.2,12118.8,56.1,48,55246.7,839.8,365.8,196.3,0.2,738.3,282.9,117.1,8.1,11.9,351.4,318.8,11,13879.8,0,13.3,0,0.6,2.3,0,0,0.9,0,0,0,0,18.1,0.2,0,0.2,0.6,1.6,3.4,0,157.3,0,0,0.1,-6.6,0,0,3204.5,0,109022.6
"DOM_09",0,0,0,839,16219.5,336.2,463.9,117.9,449.9,0,0,0,1559.9,0,0,0,1138.6,0,0,0,0,0,0,0,0,0,0,153.2,12.9,2072.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,568.2,0,23932.8
"DOM_10T12",165815.9,758.4,12794.4,1654.2,740.2,1860.2,1111.2,14.7,339118.7,21364.1,1100.3,2409.2,2772.1,49078.6,6783,1610.2,5772.9,5148.2,4200.6,4046.9,6572.4,5000.8,8033.1,1857.6,285.2,480.5,2145.1,3312,2731.8,9768.9,9169.7,4722.3,2312.2,5806.5,4585,684.1,117431.6,2100.7,2438.3,1434,4151.9,4309.7,11271.9,4170.3,9185.5,9175.7,7104.7,3647.5,5918.9,0,681618.4,140.1,1.7,0.4,421.3,0,2265.8,43833.7,0,1606243.4
"DOM_13T15",732.8,147,11.7,1801.8,405.3,1294.8,491.6,254.8,2763.7,533281.6,1400.7,7219.1,369.4,9479.6,6621.1,19732.2,11208.9,1974.1,1803.6,4080.2,1846.6,4137,7732.9,15122.9,671.8,1104.6,26930.1,880.9,3086.9,17912.4,3579.9,3482.6,106,730.1,1930.7,415.9,4544.5,4426.6,573.4,51.6,7927.5,3014.3,8124.9,5170.6,20793.6,1042,9591.1,1506,2119.6,0,200044.8,22.4,0,0.5,1221.9,0,1723.2,290958.8,0,1257602.5
