"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98"
"TTL_01",1.2176,0.0544,0.0082,0.0012,7e-04,0.0021,0.0014,0.0011,0.2666,0.0211,0.0109,0.0052,0.001,0.0154,0.0017,0.005,0.0015,0.0012,0.001,0.0012,4e-04,0.0011,0.0011,0.0017,7e-04,8e-04,0.0024,6e-04,9e-04,0.0027,0.002,8e-04,0.003,0.0012,7e-04,6e-04,0.0091,6e-04,6e-04,5e-04,6e-04,5e-04,0.0011,0.0018,0.0037,0.0023,0.0016,0.0047,0.0014,0
"TTL_02",6e-04,1.2174,3e-04,0.0012,1e-04,5e-04,4e-04,3e-04,0.0013,8e-04,0.0595,0.0125,2e-04,8e-04,2e-04,0.0035,4e-04,4e-04,9e-04,5e-04,1e-04,6e-04,5e-04,9e-04,3e-04,2e-04,0.0022,2e-04,2e-04,0.0019,3e-04,3e-04,2e-04,1e-04,3e-04,2e-04,4e-04,2e-04,2e-04,2e-04,1e-04,2e-04,2e-04,2e-04,3e-04,3e-04,2e-04,2e-04,3e-04,0
"TTL_03",5e-04,1e-04,1.0129,0,0,0,0,0,0.0067,1e-04,1e-04,1e-04,0,1e-04,0,1e-04,1e-04,1e-04,0,1e-04,0,0,0,1e-04,0,0,0,0,1e-04,0,2e-04,0,1e-04,1e-04,0,0,0.0034,0,0,0,0,0,1e-04,1e-04,2e-04,1e-04,1e-04,5e-04,2e-04,0
"TTL_05",0.0026,5e-04,3e-04,1.0344,0.0024,0.0032,0.0024,9e-04,0.0023,0.0018,0.001,0.0041,0.0028,0.0015,3e-04,0.0015,0.0058,0.0166,0.0046,0.003,3e-04,0.0014,0.0019,0.0019,8e-04,8e-04,9e-04,0.0171,6e-04,0.001,6e-04,6e-04,6e-04,6e-04,0.0012,5e-04,0.0011,2e-04,3e-04,2e-04,4e-04,8e-04,3e-04,3e-04,0.0023,5e-04,3e-04,5e-04,4e-04,0
"TTL_06",0.0356,0.0261,0.0185,0.041,1.1563,0.0674,0.0471,0.0322,0.0218,0.0227,0.0232,0.0255,0.6388,0.049,0.007,0.0303,0.0523,0.0305,0.0199,0.0158,0.004,0.022,0.0137,0.0155,0.007,0.0078,0.0123,0.1427,0.0176,0.0274,0.0107,0.0566,0.063,0.0957,0.029,0.0623,0.0129,0.0044,0.006,0.0056,0.0085,0.0093,0.0062,0.0101,0.0305,0.0207,0.007,0.0096,0.0099,0
"TTL_07",9e-04,3e-04,2e-04,8e-04,0.0022,1.084,0.0019,0.0022,0.0012,0.0012,0.0013,0.0012,0.0014,0.0048,3e-04,0.002,0.0018,0.0567,0.0561,0.0125,9e-04,0.0075,0.007,0.0067,0.003,0.003,0.003,6e-04,0.0014,0.0019,4e-04,5e-04,7e-04,4e-04,5e-04,4e-04,4e-04,5e-04,6e-04,6e-04,2e-04,3e-04,5e-04,6e-04,5e-04,3e-04,3e-04,0.0024,0.0016,0
"TTL_08",0.0051,7e-04,3e-04,0.0096,0.0023,0.0029,1.0275,0.0021,0.0026,0.0024,0.0015,0.0029,0.0021,0.0067,6e-04,0.0036,0.0681,0.0143,0.0014,0.0029,4e-04,0.0023,0.0023,0.003,0.0015,0.0013,0.0014,0.0035,0.0057,0.0153,5e-04,8e-04,7e-04,6e-04,9e-04,6e-04,8e-04,3e-04,8e-04,3e-04,4e-04,0.0012,6e-04,5e-04,0.0017,5e-04,5e-04,5e-04,8e-04,0
"TTL_09",0.0027,0.0018,0.0013,0.013,0.0563,0.026,0.021,1.0125,0.0019,0.0018,0.002,0.0022,0.042,0.0036,6e-04,0.0025,0.0075,0.0041,0.0031,0.0023,4e-04,0.0023,0.0017,0.0026,0.001,0.001,0.0012,0.0099,0.0016,0.0042,9e-04,0.0039,0.0044,0.0063,0.0022,0.0042,0.0011,4e-04,6e-04,5e-04,7e-04,0.0012,5e-04,8e-04,0.0024,0.0015,6e-04,8e-04,9e-04,0
"TTL_10T12",0.0694,0.0054,0.0155,8e-04,8e-04,0.0012,0.001,0.001,1.1216,0.0072,0.0022,0.0065,0.0012,0.0059,0.0029,0.0033,0.0022,0.0014,0.0011,0.0012,5e-04,0.001,0.0012,0.0016,8e-04,9e-04,0.0013,8e-04,0.0013,0.0011,0.0021,0.001,0.0057,0.0033,9e-04,8e-04,0.0343,9e-04,9e-04,8e-04,0.0012,6e-04,0.0019,0.0012,0.0081,0.0076,0.0053,0.0109,0.0034,0
"TTL_13T15",0.002,6e-04,9e-04,8e-04,6e-04,0.0012,8e-04,6e-04,0.002,1.088,0.0045,0.0111,7e-04,0.0033,8e-04,0.0079,0.003,0.0011,9e-04,0.0013,3e-04,0.0011,0.0027,0.0086,0.0034,0.0032,0.0094,4e-04,0.0015,0.0021,0.0021,6e-04,0.0016,5e-04,7e-04,0.0013,0.0018,5e-04,0.0013,4e-04,3e-04,4e-04,5e-04,7e-04,0.0013,7e-04,0.0014,0.0011,0.0029,0
