"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01",66518.6,3353.7,3.4,2.3,0,3.5,5.1,6.6,160661.4,1227.8,230.9,54.5,1,7438.9,27.6,29.6,0.2,0.2,0.1,0.4,0.1,0,0.3,0.4,0,0.1,89.8,1.6,0.2,747.9,1234.2,0.5,0,0,24.6,0.1,1811.8,41.3,0.8,4.8,5,21.9,526.9,545.5,2277.1,272,101.3,184.5,11.6,0,144496.7,289.7,0.2,115.2,215.4,0,572.2,41438.7,0,434598.5
"DOM_02",9.5,3218.9,0,16.5,0.1,0.3,0.5,0.7,370.3,25.8,4325.6,1017.2,2.6,98,0.1,552.5,0.6,0.4,0.2,0.6,0.3,0.1,0.4,0.5,0,0.2,92.8,2.8,0,164.9,4.6,1.1,0,0.1,0.7,0.2,2.2,0.1,0.9,0.1,2.1,39.2,6.3,1,41.4,14.4,2.3,0.2,1.2,0,11160,115.5,0,307.6,3.7,0,0.1,1755.5,0,23362.6
"DOM_03",2.5,0,26.9,0,0,0,0,0,698.1,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3,0,0,0,0.1,0,345.3,0,0,0,0,0,1.1,0,9.2,6.2,17.2,10.9,7.3,0,681.4,3.5,0,0.2,18,0,10.9,4007.4,0,5892.4
"DOM_05",484.1,0,0,1342.9,742.2,85,90.5,122.6,1642.7,53.4,13.9,1352.4,975.7,366.2,13.4,147.6,1085.3,2202.8,383.8,16.2,2.3,7.1,4,43,3,17.7,9.5,5627.2,9.3,75.6,52,9.4,0.2,0.7,8.7,1.3,854,1.9,7.5,0.9,17.4,328.9,102.1,9.4,2834.6,271.5,279.4,8.3,22,0,222.8,0.4,0,4514.3,-3,0,0,7880.1,0,34344.4
"DOM_06",701,6.9,16.2,74,22961.6,130.4,237.5,665.6,252.6,11.4,64.2,163.9,173534.9,1060.4,25.6,63.2,453.4,138.7,27.4,75.6,20.9,37.8,64.6,62.2,3.1,27.9,68,23274.7,102.6,2090.5,547.6,1929,285.4,1170.1,382.4,428,277.4,21.5,30.4,119.4,402.5,528.6,163.1,334,2196.2,1348.4,275.2,41.6,93.2,0,8516.5,2.1,0.5,12021.8,-61.5,0,124.3,40814.8,0,298409.4
"DOM_07",3.6,0,0,1.4,39,2715.1,30.4,90.3,4.1,0.2,0.6,2.2,30,1720.4,0.5,1.1,71.1,3991.6,3152.3,366.4,4.5,39.8,69.8,39.2,0.2,2.3,104.1,13,28.6,387.8,29.5,4.7,0.1,0.3,3.1,0.6,130.7,164.7,121.1,21.7,8.6,163.9,359.3,499.5,48.4,254.1,26.9,611.1,619.1,0,0.2,0.2,0,1536,-19.6,0,0,9548.4,0,27042.5
"DOM_08",1216.7,0.1,0.1,131.1,17,6.9,1065.4,74.2,338.7,27.1,10.4,384.2,135.8,2453.4,9.8,125.5,9168.4,1010.5,25.9,34.9,14.6,27.3,22.3,49.9,2.6,150.2,55.5,665.9,206.4,14524.9,81.8,87.5,0.5,1.4,16.1,2.7,38.7,4.7,35.9,6.2,34.4,672.4,406,25.1,1344,80.5,192.6,4.6,27.4,0,389.1,0.9,0,5068.3,-1.9,0,2.4,1825.1,0,42302.3
"DOM_09",22.8,0.1,0.2,146.9,16791.9,325.9,753.3,2687.4,37,1.5,5.5,16.6,3662.1,21.8,3.5,11.1,281.8,10.6,6.9,35,11.8,7,23.1,29.7,2,10.9,10.3,619.7,6.7,1941.1,108.3,28.3,1.9,3.2,17.6,4.2,48.7,4.4,23.4,6.1,49.3,864.2,47.9,15.8,261.3,97.5,55.5,5.4,28.2,0,67.4,1.1,0,55590,0.6,0,0.3,3184.5,0,87999.5
"DOM_10T12",13775,3.4,5.5,3.5,21.7,3.9,5.2,8.9,82121.2,160.3,39.7,310.1,160,1621.2,235,204.2,182.1,33.6,13.8,72.2,34.2,27.3,69,130,6,68,55.5,98.3,8.6,300.8,2703.3,47.1,116.2,119.5,17.3,10.8,29414.8,55.6,30.2,23.1,27.3,66,1699.5,75.9,8830,6800.4,9583.2,1613,637.2,0,708232.4,683,1.9,1122.4,213.9,0,3609.1,47570.6,0,923082.3
"DOM_13T15",301.2,0.7,6.8,4.8,32.1,4.4,6.8,12,348.4,2406.9,133.7,960.4,137.7,883.3,31.7,890.7,91.9,20.6,7.1,65.5,33.4,26,188.4,1166.5,69,291.6,1005.6,20.2,37.3,897.8,1709.7,22,18.4,3.9,23.6,14.8,523.9,39.7,39.5,14.6,16,125.9,155.4,129.9,609.8,168.4,1038.7,97.2,234.1,0,34468.1,18.7,0.4,4464.3,193.9,0,738.2,12946.3,0,67897.8
