"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",60169.1,747.6,22.3,13.1,1.5,21.9,16.4,30.4,211746.9,1127.8,435.4,151.7,6.9,9237.3,87.7,85.1,1.4,1.1,0.8,2.4,0.7,0.6,3.5,8,0.2,2.1,307.3,2,0.7,1827.7,2517.4,19.8,41.3,1,2,0.4,512.2,42.7,2.5,4.3,7,13.3,609.8,662.8,2302.7,261.6,12.2,346.4,40.9,0,155408.3,398.3,0.5,149.2,242.5,1058.2,552.7,46234.5,-26966.6
"TTL_02",16.6,2601.7,0,17,0.4,0.1,0.2,0.4,157.9,11.8,3262.6,1103.4,6.1,186,0.3,605.4,0.9,0.3,0.5,0.8,0.3,0.2,0.9,2.1,0.1,0.5,80.2,1.4,0.1,118.1,4.7,1.2,0.1,0.2,0.6,0.2,2.4,0.3,0.7,0.9,1.5,19.5,3.7,1.3,217,10.1,1.6,0.3,0.9,0,10119.9,112.8,0.1,155,6.6,9.6,0,1934.6,-2699.5
"TTL_03",23.6,0,78,0,0.2,0,0,0.1,4671.1,0.3,0,0.2,0.6,19.9,0.2,0.3,0.1,0.1,0,0.1,0,0,0.1,0.2,0.5,0.6,0.1,0.2,0,0.5,314.4,0.2,1.7,0.1,0.2,0.1,2587.3,0.1,0.1,0.1,0.2,0.4,46.3,0.2,201.4,44,34.9,74.2,65.9,0,4260,34.8,0,29.1,16.8,71,11.6,3599.4,-10586.9
"TTL_05",777.7,2.6,0,2630.3,778.9,73.6,84.5,92.7,1372.4,93.5,9.2,1059.7,1585.7,380.6,10.8,97.4,1034.9,3877.3,586,12.4,2.5,6.3,16.2,27.1,0.5,7.4,6.8,8938.9,3.5,85.7,40.7,11.9,0.2,1.4,11.6,2.9,348.4,0.8,9.4,0.9,20.8,454.5,96.4,3.8,7272.8,216.9,58.4,9.8,22.9,0,147,0.7,0,6346.6,-19.5,1.6,0,9110.9,-590.9
"TTL_06",633.7,35,10.9,486.6,46699.8,512.1,496.9,984.2,247.4,18.5,56.4,176.4,521944.8,3948.4,27.5,81.2,505.6,135.2,55.5,84.4,20.1,71.5,113.2,52.5,2.5,26.1,63.8,41276.1,88.2,2491.9,551.2,2367.9,267.7,1548.2,233.1,399.6,241.3,26.8,30.2,64.6,479.5,420.6,209.2,285.6,17292.5,1376.9,305.6,55.5,139,0,9383.9,2.1,0.3,29830.5,-28.1,28.4,87.1,19171.9,-294997.4
"TTL_07",8.3,0,0,10.1,185.4,1796.3,37.9,163.4,13.7,1.5,1,5.1,109.7,1866.9,1.6,7.1,112.9,7254.1,5031.4,397.4,12,87.2,158.9,66.8,3.3,27.1,196.1,18.7,59.1,406.2,28.9,4.2,0.1,0.7,3.2,1,57.2,45.9,54.1,167.3,8.7,135,234.7,281.6,91.7,167.5,24.6,576.4,583.4,0,18.8,0.3,0,2196.3,10.2,10.3,0,11251.6,-3615.9
"TTL_08",1281.2,0.4,0,361.2,334.4,27.6,714,81.9,289.6,42.5,12.5,417.4,226.4,2869,37.3,198.2,6636.3,816,24.2,48.6,15.4,28.2,52.4,59.1,11.7,102.1,51.5,468.8,241.8,11738.4,38.3,82.7,1,2.5,13.4,3,14.6,5.2,55.4,5.8,14.3,297.4,312.2,28.1,1102.5,36,72.2,3.7,22.1,0,567.4,0.7,0.1,3462.7,9.6,6.3,3.5,1971,-2278.7
"TTL_09",49.1,0.7,0.2,911.9,18771.2,1039.4,1026,1973.5,78.1,5.3,9.9,33.5,9739.7,65.9,8.5,25.9,398.8,24.6,17.2,87,18.7,20.7,64.6,157.2,3.2,27.9,26.5,979.8,13.2,2296.4,122.7,47.5,3.2,7.8,34,12.7,45.3,8.2,41.2,10.5,74.9,1523,100.9,22.4,1027.7,105.1,37,10.5,52.5,0,232,2.7,0.2,79962.8,8.8,8.2,1,3196.2,-2427.8
"TTL_10T12",22779.4,46.2,77.3,12.7,59.4,9.3,7.3,18.5,104792.9,967.6,56.4,1527.2,336,2749.2,711.9,487.1,149.9,49.6,28,120.9,42.7,44.2,115.2,156.8,5.7,70.1,111.4,43.9,13.3,276,3822.9,57.7,110.5,235.7,19.5,12.9,31878.2,55.8,26.5,39.5,26.6,84.2,2305.2,86.8,17037,8579.1,8616.6,2255,971.5,0,688199.5,702,2.9,950.5,356.4,3724.4,3426.9,53876.8,-68711.8
"TTL_13T15",500.4,0.8,14.2,11.6,48.6,7.8,5.6,14.5,258.6,6740.3,293.6,2120.9,111.5,1318.4,86.5,1401.5,208.1,24.6,13.2,145.3,29.8,32,628.9,3054.7,60.7,496.4,2415.9,20.5,83.2,1078.6,3509.1,21.7,92.8,7.5,23.6,34.5,783.9,62,245.3,20.6,10.8,126.1,205.7,288.6,1975.4,447.2,1667,213.7,938.9,0,142851.9,45.9,3.1,5521.5,657.7,1942.4,675,17968.9,-128279.3
"TTL_16",274.1,4.9,28,38.6,5.9,14.3,10.1,90.8,403,43.5,18466.4,4382.5,15,249.8,13.8,1017.9,291.5,53.8,405.9,561.3,181.6,168.1,902.9,3022.3,70.8,160.1,6009.1,11.1,18.5,31348.5,2925.3,918.4,2.1,8.3,149.2,54.3,1064.3,160.5,461.2,998.7,73.1,3235.7,471.4,699.1,986.8,1647.5,1192.1,115.9,299.6,0,8213.2,0.5,7.4,7413.4,602.9,155.7,178.9,4674.8,-14532.3
